 id    type   Ptrue     P1      P2       Pi1      Pi2
 O_00265   O   249.00   251.89  1000.00   276.24  1010.10
 O_00266   O   143.97   144.09   234.19   144.09   135.32
 O_00267   O   191.06   191.20   217.39   216.45   380.23
 O_00268   O   208.99   108.70   380.23   108.70   380.23
 O_00269   O   231.00   232.02   269.54   239.23   156.25
 O_00270   O   330.25   327.87   473.93   328.95   480.77
 O_00271   O   634.92   641.03   236.41   234.74   641.03
 O_00272   O   148.02   146.20   103.52   151.98   113.12
 O_00273   O   277.01   277.01  1041.67   277.78   172.12
 O_00274   O   358.42   361.01   427.35   361.01   427.35
 O_00275   O   103.56   103.63   142.86   103.63   142.86
 O_00276   O   165.89   164.47   108.58   163.93   108.58
 O_00277   O   266.52   268.10   173.01   270.27   171.53
 O_00278   O   447.83   458.72   704.23   478.47   239.23
 O_00279   O   197.75   198.02   423.73   423.73   198.41
 O_00280   O   247.77   247.52   140.25   246.91   223.21
 O_00281   O   169.90   168.92   312.50   168.92   313.48
 O_00282   O   279.56   279.33  1111.11   280.11  1111.11
 O_00283   O   270.42   271.74   354.61   272.48   315.46
 O_00284   O   182.75   183.15   122.70   183.49   122.85
 O_00285   O   203.50   203.25   362.32   386.10   197.24
 O_00286   O   376.79   375.94   186.92   374.53   186.92
 O_00287   O   675.22   684.93   310.56   869.57   320.51
 O_00288   O   209.21   209.21   232.56   231.48   209.21
 O_00289   O   143.57   144.30   235.85   146.84   108.34
 O_00290   O   163.64   163.93   295.86   163.93   257.07
 O_00291   O   127.67   127.39   943.40   127.39   943.40
 O_00292   O   193.16   192.68   400.00   192.31   392.16
 O_00293   O   208.59   210.08   133.33   210.53   628.93
 O_00294   O   409.50   408.16   223.21   409.84   223.71
 O_00295   O   523.29  1030.93   191.20   193.80   381.68
 O_00296   O   148.26   148.15   139.28   139.28   148.15
 O_00297   O   208.59   209.64   133.33   210.97   133.69
 O_00298   O   277.01   273.97   229.36   273.97   230.41
 O_00299   O   232.29   232.02   625.00   232.56   625.00
 O_00300   O   179.12   177.62   119.62   177.31   165.02
 O_00301   O   171.76   172.71   333.33   298.51   177.31
 O_00302   O   330.25   167.50   322.58   166.11   341.30
 O_00303   O   212.50   217.86   406.50   222.72   438.60
 O_00304   O   239.98   240.38   158.23   240.96   320.51
 O_00305   O   191.06   191.94   400.00   191.94   400.00
 O_00306   O   146.26   146.41   105.04   146.63   137.93
 O_00307   O   500.00   500.00   321.54   400.00   500.00
 O_00308   O   146.26   145.99   239.81   145.56   236.41
 O_00309   O   277.01   278.55   568.18   279.33  1086.96
 O_00310   O   256.21   256.41   153.61   257.07   134.77
 O_00311   O   205.72   204.92   131.58   204.50   418.41
 O_00312   O   191.06   136.24   191.20   136.05   128.53
 O_00313   O   169.21   170.07   315.46   170.07   315.46
 O_00314   O   277.01   279.33   568.18   280.90  1075.27
 O_00315   O   231.00   230.41   141.04   230.95   194.55
 O_00316   O   233.81   230.95   699.30   237.53   515.46
 O_00317   O   261.44   257.73  1041.67   259.07  1063.83
 O_00318   O   200.08   200.00   220.75   200.00   219.78
 O_00319   O   204.71   205.34   460.83   205.34   458.72
 O_00320   O   109.23   108.70   154.80   108.46   146.84
 O_00321   O   171.76   348.43  1052.63   348.43  1052.63
 O_00322   O   261.44   265.25   308.64   265.25   308.64
 O_00323   O   163.64   164.47   156.74   310.56   153.85
 O_00324   O   246.79   244.50   653.59   277.01   319.49
 O_00325   O   203.62   204.08   450.45   205.76   467.29
 O_00326   O   160.67   161.55   112.36   161.81   113.64
 O_00327   O   205.72   206.19   226.24   206.19   226.24
 O_00328   O   255.30   236.97   255.10   246.31   833.33
 O_00329   O   279.56   281.69  1408.45   281.69  1449.28
 O_00330   O   193.16   192.31   127.39   191.94   127.39
 O_00331   O   143.57   143.88   152.44   143.88   153.14
 O_00332   O   200.12   148.59   201.61   200.40   146.41
 O_00333   O   634.92   645.16   235.85   211.86   649.35
 O_00334   O   254.71   252.53   961.54   297.62   970.87
 O_00335   O   212.50   211.86   134.41   211.86   177.62
 O_00336   O   245.88   244.50   746.27   243.90   746.27
 O_00337   O   224.12   225.23   139.86   224.72   247.53
 O_00338   O   223.21   222.22   140.45   222.22   140.45
 O_00339   O   206.40   205.76   467.29   206.19   184.50
 O_00340   O   299.58   300.30   359.71   301.20   355.87
 O_00341   O   429.00   431.03   371.75   432.90   523.56
 O_00342   O   171.76   172.12   117.23   171.82   185.87
 O_00343   O   270.42   271.00   657.89   277.01  1265.82
 O_00344   O   182.88   181.82   364.96   181.82   197.63
 O_00345   O   165.89   165.56   114.81   165.56   109.53
 O_00346   O   196.39   195.69   406.50   395.26   196.46
 O_00347   O   228.21   227.27   141.44   228.31   145.35
 O_00348   O   107.04   106.95   102.67   107.07   102.35
 O_00349   O   762.78   719.42   467.29   671.14   255.10
 O_00350   O   178.28   357.14   178.57   355.87   178.25
 O_00351   O   103.56   144.72   103.95   144.51   103.95
 O_00352   O   204.79   204.08  1111.11   555.56   221.73
 O_00353   O   163.40   163.93   298.51   163.93   298.51
 O_00354   O   256.21   255.75   578.03   255.75   286.53
 O_00355   O   254.39   252.53   309.60   273.97   847.46
 O_00356   O   146.80   146.84   137.17   146.84   137.55
 O_00357   O   226.19   223.71   478.47   222.22   473.93
 O_00358   O   206.40   206.61   130.55   210.53   134.05
 O_00359   O   171.76   171.53   323.62   171.53   323.62
 O_00360   O   208.51   207.90   374.53   207.04   228.31
 O_00361   O   190.51   308.64   363.64   380.23   137.74
 O_00362   O   201.74   202.43   413.22   202.43   413.22
 O_00363   O   239.98   241.55   729.93   235.29   909.09
 O_00364   O   207.08   207.47   386.10   390.62   196.08
 O_00365   O   212.50   220.75   215.52   234.19   574.71
 O_00366   O   239.98  1190.48   241.55  1190.48   241.55
 O_00367   O   127.67   127.88   384.62   128.04   381.68
 O_00368   O   160.67   160.51   302.11   160.51   309.60
 O_00369   O   175.04   175.44   373.13   175.13   188.32
 O_00370   O   119.98   119.76   177.30   119.62   107.64
 O_00371   O   564.97  1136.36   273.97  1136.36   278.55
 O_00372   O   245.88   246.91   507.61   247.53   502.51
 O_00373   O   254.71   254.45   289.86   289.02   254.45
 O_00374   O   358.81   369.00  1562.50   377.36  1176.47
 O_00375   O   201.74   202.84   240.96   203.25   241.55
 O_00376   O   119.55   119.62   126.42   119.62   125.94
 O_00377   O   179.12   178.57   210.97   177.62   209.64
 O_00378   O   205.72   205.34   131.58   205.76   181.49
 O_00379   O   177.15   176.99   349.65   175.75   354.61
 O_00380   O   361.66   359.71   179.86   369.00   182.81
 O_00381   O   163.40   162.87   112.87   161.55   254.45
 O_00382   O   204.79   204.50   454.55   204.08   224.22
 O_00383   O   153.54   153.61   270.27   152.67   299.40
 O_00384   O   174.19   176.06   349.65   383.14   187.62
 O_00385   O   108.60   108.70   114.03   108.70   114.03
 O_00386   O   254.71   255.10   775.19   255.10   763.36
 O_00387   O   358.81   353.36   119.05   354.61  1612.90
 O_00388   O   172.00   171.82   324.68   171.53   371.75
 O_00389   O   172.00   172.12   370.37   171.82   370.37
 O_00390   O   169.21   169.20   115.87   169.21   110.13
 O_00391   O   675.22   680.27   460.83   653.60   242.13
 O_00392   O   202.18   202.02   450.45   202.02   222.72
 O_00393   O   159.64   162.07   322.58   162.07   322.58
 O_00394   O   203.79   206.61   374.53   207.47   384.62
 O_00395   O   148.26   148.59   218.34   146.41   153.61
 O_00396   O   249.00   251.26   305.81   282.49   200.00
 O_00397   O   388.35   390.62   505.05   497.51   395.26
 O_00398   O   277.01   277.01   332.23   286.53   276.24
 O_00399   O   200.08   200.00   436.68   200.00   183.82
 O_00400   O   164.53   164.20   112.11   167.22   152.44
 O_00401   O   382.26   384.62   189.39   381.68   190.11
 O_00402   O   182.75   183.15   364.96   183.15   364.96
 O_00403   O   176.68   175.75   119.19   175.44   127.23
 O_00404   O   222.82   223.21   139.28   222.72   149.03
 O_00405   O   177.24   176.99   203.25   326.80   172.12
 O_00406   O   253.81   251.89   147.93   254.45   152.21
 O_00407   O   390.62   395.26   196.46   413.22   763.36
 O_00408   O   412.20   409.84   195.69   408.16   194.55
 O_00409   O   172.65   176.68   353.36   176.99   355.87
 O_00410   O   447.83   421.94   228.83  1538.46   413.22
 O_00411   O   792.39   787.40  1063.83   787.40  1136.36
 O_00412   O   109.23   109.17   154.80   108.93   143.06
 O_00413   O   163.40   163.93   176.99   163.93   176.99
 O_00414   O   319.69   318.47   171.53   172.12   318.47
 O_00415   O   205.38   205.34  1234.57   211.42   205.76
 O_00416   O   634.92   657.89   900.90   862.07   657.89
 O_00417   O   208.51   209.64   595.24   145.14   564.97
 O_00418   O   171.76   172.71   320.51   172.41   160.00
 O_00419   O   193.16   193.42   209.64   209.64   193.42
 O_00420   O   281.61   280.11   367.65   279.33   367.65
 O_00421   O   323.10   264.55   317.46   268.10   307.69
 O_00422   O   376.36   380.23   452.49   380.23   452.49
 O_00423   O   179.12   179.21   337.84   179.21   165.84
 O_00424   O   120.69   120.77   179.21   120.92   127.88
 O_00425   O   120.69   120.34   127.71   120.48   127.71
 O_00426   O   191.06   191.94   392.16   191.94   389.11
 O_00427   O   208.99   209.21   143.88   143.06   208.77
 O_00428   O   361.66   363.64   442.48   363.64   423.73
 O_00429   O   204.71   206.61   131.93   131.93   206.61
 O_00430   O   376.79   375.94   126.26   375.94   126.10
 O_00431   O   148.02   147.06   247.52   147.93   523.56
 O_00432   O   208.59   139.86   229.36   139.86   229.36
 O_00433   O   354.99   704.23   465.12   531.91   304.88
 O_00434   O   174.19   174.22   325.73   174.22   161.03
 O_00435   O   208.59   208.77   381.68   208.77   191.21
 O_00436   O   218.29   216.92   238.10   216.45   238.09
 O_00437   O   206.40   206.61   462.96   189.39   207.04
 O_00438   O   270.42   271.74  1086.96   271.74  1086.96
 O_00439   O   161.68   161.55   105.93   106.16   160.77
 O_00440   O   201.74   202.43   529.10   202.43   186.22
 O_00441   O   208.59   209.21   187.62   189.04   208.77
 O_00442   O   208.59   208.77   378.79   208.77   380.23
 O_00443   O   261.44   259.07  1612.90   257.07   150.60
 O_00444   O   200.08   199.60   438.60   199.60   423.73
 O_00445   O   172.00   171.53   320.51   170.94   158.48
 O_00446   O   202.18   200.00   174.83   200.00   421.94
 O_00447   O   255.30   255.75   310.56   259.07   307.69
 O_00448   O   176.68   176.37   161.81   176.06   163.40
 O_00449   O   279.56   279.33   156.99   269.54  1136.36
 O_00450   O   376.36   367.65   184.84   361.01   188.68
 O_00451   O   547.05   558.66   251.26   280.11   250.63
 O_00452   O   376.36   380.23   188.68   383.14   189.39
 O_00453   O   200.08   200.00   129.87   199.60   183.82
 O_00454   O   202.18   200.80   129.70   349.65   378.79
 O_00455   O   255.30   255.75   303.95   255.10   299.40
 O_00456   O   333.44   149.25   322.58   294.99   151.75
 O_00457   O   176.55   176.37   120.05   175.75   120.19
 O_00458   O   148.26   148.81   197.63   148.81   380.23
 O_00459   O   233.81   232.02   458.72   227.27   138.50
 O_00460   O   177.15   177.30   371.75   165.56   169.49
 O_00461   O   376.08   371.75   512.82   380.23   543.48
 O_00462   O   209.21   208.77   485.44   208.77   193.05
 O_00463   O   169.90   342.47   172.71   348.43   173.91
 O_00464   O   242.01   243.31   719.42   243.31   724.64
 O_00465   O   163.40   163.93   153.14   164.20   153.14
 O_00466   O   113.46   112.61   229.89   158.23   148.15
 O_00467   O   193.16   191.94   125.63   191.57   518.13
 O_00468   O   191.06   190.48   403.23   183.49   408.16
 O_00469   O   229.99   230.41   460.83   230.41   460.83
 O_00470   O   241.31   239.81   434.78   239.23   267.38
 O_00471   O   261.44   260.42   900.90   260.42   294.12
 O_00472   O   261.44   259.07   288.18   268.82   163.93
 O_00473   O   204.79   204.50   131.58   203.67   222.22
 O_00474   O   179.12   178.25   384.62   177.94   386.10
 O_00475   O   217.11   217.39   136.24   217.39   136.61
 O_00476   O   255.30   255.10   311.53   255.75   308.64
 O_00477   O   146.80   146.20   155.76   146.41   156.01
 O_00478   O   412.20   414.94   649.35   414.94   649.35
 O_00479   O   233.81   234.19   130.72   130.04   462.96
 O_00480   O   179.12   178.25   349.65   177.62   349.65
 O_00481   O   148.48   148.59   244.50   148.59   134.41
 O_00482   O   205.38   204.50   454.55   204.92   224.72
 O_00483   O   271.52   268.82   155.04   267.38   237.53
 O_00484   O   179.12   181.16   357.14   361.01   179.86
 O_00485   O   171.76   173.61   307.69   177.94   348.43
 O_00486   O   163.64   165.56   306.75   166.39   116.96
 O_00487   O   389.26   387.60   467.29   387.60   471.70
 O_00488   O   127.60   126.26   195.31   124.69   332.23
 O_00489   O   127.67   127.55   100.81   127.55   140.25
 O_00490   O   242.01   242.13   146.63   242.72   146.63
 O_00491   O   190.51   191.94   409.84   194.18   483.09
 O_00492   O   231.00   228.83   438.60   452.49   228.83
 O_00493   O   127.60   127.88   195.69   421.94   182.48
 O_00494   O   228.21   228.83   153.61   228.83   153.37
 O_00495   O   109.23   109.17   102.15   109.05   102.46
